era,period,epoch,name,max_age,min_age,abbr,color,lab_color
Paleozoic,Cambrian,Miaolingian,Guzhangian,500.5,497,Gzhn,#CCDFAA,black
Paleozoic,Cambrian,Miaolingian,Drumian,504.5,500.5,Drm,#BFD99D,black
Paleozoic,Cambrian,Miaolingian,Wuliuan,506.5,504.5,Wl,#B3D492,black
Paleozoic,Cambrian,Series 2,Stage 4,514.5,506.5,S4,#B3CA8E,black
Paleozoic,Cambrian,Series 2,Stage 3,521,514.5,S3,#A6C583,black
Paleozoic,Cambrian,Terreneuvian,Stage 2,529,521,S2,#A6BA80,black
Paleozoic,Cambrian,Terreneuvian,Fortunian,538.8,529,Frt,#99B575,black
Neoproterozoic,Ediacaran,NA,Ediacaran,635,538.8,Ed,#FED96A,black
Neoproterozoic,Cryogenian,NA,Cryogenian,720,635,Cy,#FECC5C,black
Neoproterozoic,Tonian,NA,Tonian,1000,720,To,#FEBF4E,black
Neoproterozoic,Ediacaran,NA,Ediacaran,635,538.8,Ed,#FED96A,black
Neoproterozoic,Cryogenian,NA,Cryogenian,720,635,Cy,#FECC5C,black
Neoproterozoic,Tonian,NA,Tonian,1000,720,To,#FEBF4E,black
