"interval_no","color","Era","Period","Epoch","interval_name","age_bottom","age_top","age_mid"
192,"#A6DBAB","Paleozoic","Ordovician","Late Ordovician","Hirnantian",445.2,443.1,444.15
1008,"#99D69F","Paleozoic","Ordovician","Late Ordovician","Katian",452.8,445.2,449
1009,"#8CD094","Paleozoic","Ordovician","Late Ordovician","Sandbian",458.2,452.8,455.5
556,"#74C69C","Paleozoic","Ordovician","Middle Ordovician","Darriwilian",469.4,458.2,463.8
1079,"#66C092","Paleozoic","Ordovician","Middle Ordovician","Dapingian",471.3,469.4,470.35
1010,"#41B087","Paleozoic","Ordovician","Early Ordovician","Floian",477.1,471.3,474.2
559,"#33A97E","Paleozoic","Ordovician","Early Ordovician","Tremadocian",486.85,477.1,481.975
1112,"#E6F5C9","Paleozoic","Cambrian","Furongian","Stage 10",491,486.85,488.925
1113,"#D9F0BB","Paleozoic","Cambrian","Furongian","Jiangshanian",494.2,491,492.6
1086,"#CCEBAE","Paleozoic","Cambrian","Furongian","Paibian",497,494.2,495.6
1087,"#CCDFAA","Paleozoic","Cambrian","Miaolingian","Guzhangian",500.5,497,498.75
1116,"#BFD99D","Paleozoic","Cambrian","Miaolingian","Drumian",504.5,500.5,502.5
1205,"#B3D492","Paleozoic","Cambrian","Miaolingian","Wuliuan",506.5,504.5,505.5
1118,"#B3CA8E","Paleozoic","Cambrian","Series 2","Stage 4",514.5,506.5,510.5
1119,"#A6C583","Paleozoic","Cambrian","Series 2","Stage 3",521,514.5,517.75
1120,"#A6BA80","Paleozoic","Cambrian","Terreneuvian","Stage 2",529,521,525
1121,"#99B575","Paleozoic","Cambrian","Terreneuvian","Fortunian",538.8,529,533.9
761,"#FED96A","Neoproterozoic","Ediacaran","","Ediacaran",635,538.8,586.9
762,"#FECC5C","Neoproterozoic","Cryogenian","","Cryogenian",720,635,677.5
763,"#FEBF4E","Neoproterozoic","Tonian","","Tonian",1000,720,860
